                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    111,                 0.5438,                 1.0933,                 1.0908,                0.97254,                0.92085,                0.96981,                0.92116,                0.25631,                0.30916,                0.90473,               0.008911,               0.008911,               0.008911
                    112,                0.53819,                 1.0846,                 1.0869,                0.96365,                0.91974,                0.96717,                0.91876,                0.25601,                  0.317,                0.90327,              0.0089011,              0.0089011,              0.0089011
                    113,                0.54154,                 1.1063,                 1.0927,                 0.7441,                0.58372,                0.69763,                0.61425,                0.42557,                 1.5153,                 1.0296,              0.0088912,              0.0088912,              0.0088912
                    114,                0.54036,                 1.0817,                 1.0885,                0.77416,                0.63261,                0.74675,                0.65528,                0.42995,                 1.2853,                 1.0312,              0.0088813,              0.0088813,              0.0088813
                    115,                0.54373,                 1.0824,                  1.091,                0.83561,                0.74128,                0.84662,                0.75976,                0.38061,                0.86955,                0.99171,              0.0088714,              0.0088714,              0.0088714
                    116,                0.53941,                  1.087,                 1.0889,                0.90069,                0.83104,                0.91662,                0.84362,                0.32456,                0.57906,                  0.951,              0.0088615,              0.0088615,              0.0088615
                    117,                0.54216,                 1.0821,                   1.09,                 0.9716,                0.92024,                0.96857,                0.91947,                0.25409,                0.30862,                0.90241,              0.0088516,              0.0088516,              0.0088516
                    118,                0.54245,                 1.0903,                 1.0908,                0.96741,                0.92337,                0.96808,                0.91899,                0.25432,                0.31058,                0.90273,              0.0088417,              0.0088417,              0.0088417
                    119,                0.54379,                 1.0823,                 1.0933,                0.96903,                0.92626,                0.96929,                0.92078,                0.25256,                0.30558,                0.90125,              0.0088318,              0.0088318,              0.0088318
                    120,                0.53928,                 1.0774,                 1.0883,                0.97221,                0.92454,                0.96988,                0.92182,                0.25186,                0.30355,                0.90074,              0.0088219,              0.0088219,              0.0088219
                    121,                0.53862,                 1.0758,                 1.0914,                0.97398,                0.92372,                0.97009,                0.92217,                0.25241,                0.30295,                0.90137,               0.008812,               0.008812,               0.008812
                    122,                0.53699,                 1.0807,                 1.0884,                0.97253,                0.92231,                0.96933,                0.92132,                0.25306,                0.30643,                0.90131,              0.0088021,              0.0088021,              0.0088021
                    123,                 0.5381,                 1.0826,                 1.0904,                0.96593,                0.91402,                0.96466,                0.91392,                0.26078,                0.32725,                0.90672,              0.0087922,              0.0087922,              0.0087922
                    124,                0.53783,                 1.0813,                 1.0912,                0.93669,                0.87596,                0.94377,                0.88086,                0.29358,                0.44804,                0.92903,              0.0087823,              0.0087823,              0.0087823
                    125,                0.54616,                 1.0918,                 1.0927,                0.93974,                0.87531,                0.94424,                0.88065,                0.29482,                0.44674,                0.92973,              0.0087724,              0.0087724,              0.0087724
                    126,                0.53698,                 1.0727,                 1.0872,                0.93726,                0.86448,                0.94008,                 0.8772,                0.29337,                0.46496,                0.92939,              0.0087625,              0.0087625,              0.0087625
                    127,                 0.5399,                 1.0715,                 1.0878,                0.95582,                0.90393,                 0.9584,                 0.9035,                0.27106,                0.35964,                0.91383,              0.0087526,              0.0087526,              0.0087526
                    128,                0.53762,                 1.0668,                 1.0876,                0.95288,                0.89714,                0.95511,                0.89894,                0.27438,                0.38068,                 0.9163,              0.0087427,              0.0087427,              0.0087427
                    129,                0.53407,                 1.0721,                 1.0868,                0.94536,                0.88734,                0.95037,                0.89244,                0.28024,                0.41067,                0.92031,              0.0087328,              0.0087328,              0.0087328
                    130,                0.53873,                 1.0671,                 1.0886,                0.91619,                0.83635,                0.92195,                 0.8509,                0.31803,                0.56106,                0.94682,              0.0087229,              0.0087229,              0.0087229
                    131,                0.53818,                 1.0726,                 1.0903,                 0.9186,                0.85419,                0.93031,                0.86167,                0.31058,                0.52158,                0.94139,               0.008713,               0.008713,               0.008713
                    132,                0.53357,                 1.0675,                 1.0882,                0.88231,                 0.8091,                0.89986,                0.82428,                0.33464,                0.65835,                0.95908,              0.0087031,              0.0087031,              0.0087031
                    133,                0.53893,                 1.0648,                 1.0898,                0.90357,                0.82848,                0.91506,                0.84185,                 0.3257,                0.59115,                0.95204,              0.0086932,              0.0086932,              0.0086932
                    134,                0.53827,                 1.0721,                 1.0885,                0.92236,                0.85905,                0.93325,                 0.8654,                0.30843,                0.50434,                0.93939,              0.0086833,              0.0086833,              0.0086833
                    135,                 0.5352,                 1.0649,                 1.0894,                0.91063,                0.83479,                 0.9209,                0.84992,                0.31927,                0.56304,                0.94739,              0.0086734,              0.0086734,              0.0086734
                    136,                0.53635,                  1.055,                 1.0888,                0.92293,                0.85461,                0.93262,                0.86514,                0.30694,                0.50618,                0.93805,              0.0086635,              0.0086635,              0.0086635
                    137,                0.53653,                 1.0622,                 1.0866,                0.88022,                0.81334,                0.90102,                 0.8266,                0.33238,                0.65278,                0.95692,              0.0086536,              0.0086536,              0.0086536
                    138,                0.53324,                 1.0596,                 1.0875,                  0.865,                0.78587,                0.88352,                0.80591,                0.34521,                0.73332,                 0.9666,              0.0086437,              0.0086437,              0.0086437
                    139,                0.53418,                 1.0612,                 1.0874,                0.80553,                0.69528,                0.80771,                 0.7209,                0.39297,                 1.0897,                 1.0033,              0.0086338,              0.0086338,              0.0086338
                    140,                0.53491,                 1.0609,                 1.0869,                0.82452,                0.72554,                0.83425,                0.74878,                0.37962,                0.95702,                0.99233,              0.0086239,              0.0086239,              0.0086239
                    141,                0.53335,                  1.051,                 1.0851,                0.84568,                0.75091,                0.85784,                0.77507,                 0.3648,                0.84705,                0.98077,               0.008614,               0.008614,               0.008614
                    142,                 0.5326,                 1.0476,                 1.0848,                0.83391,                0.74398,                0.85014,                0.76769,                0.36679,                0.88143,                0.98259,              0.0086041,              0.0086041,              0.0086041
                    143,                0.53378,                 1.0585,                 1.0842,                0.85453,                0.77772,                 0.8755,                0.79701,                0.34991,                0.76897,                0.96993,              0.0085942,              0.0085942,              0.0085942
                    144,                0.53338,                 1.0488,                 1.0865,                0.88061,                0.81323,                0.90159,                0.82771,                0.33239,                0.65509,                0.95686,              0.0085843,              0.0085843,              0.0085843
                    145,                0.53081,                 1.0547,                 1.0845,                0.90706,                 0.8278,                0.91692,                0.84539,                0.32226,                0.59274,                0.94892,              0.0085744,              0.0085744,              0.0085744
                    146,                0.53651,                 1.0704,                 1.0911,                0.92938,                0.86162,                0.93739,                0.87318,                0.29911,                0.49066,                0.93236,              0.0085645,              0.0085645,              0.0085645
                    147,                0.53405,                 1.0547,                 1.0868,                0.91552,                0.84012,                0.92528,                0.85679,                0.31195,                0.55319,                 0.9415,              0.0085546,              0.0085546,              0.0085546
                    148,                0.53044,                 1.0427,                  1.084,                 0.9133,                0.83778,                0.92356,                0.85487,                0.31321,                0.56233,                0.94237,              0.0085447,              0.0085447,              0.0085447
                    149,                0.53379,                 1.0546,                 1.0848,                0.90284,                0.82937,                0.91633,                 0.8459,                0.31975,                0.59732,                0.94714,              0.0085348,              0.0085348,              0.0085348
                    150,                 0.5344,                 1.0537,                 1.0868,                0.90881,                0.83709,                0.92121,                0.85189,                  0.316,                  0.573,                0.94424,              0.0085249,              0.0085249,              0.0085249
                    151,                0.53796,                 1.0552,                 1.0878,                0.90918,                0.83919,                0.92247,                0.85301,                0.31547,                0.56863,                0.94375,               0.008515,               0.008515,               0.008515
                    152,                0.53235,                 1.0391,                 1.0848,                0.91324,                0.84278,                0.92519,                 0.8566,                0.31243,                0.55367,                0.94161,              0.0085051,              0.0085051,              0.0085051
                    153,                0.53103,                 1.0433,                 1.0841,                0.91384,                 0.8444,                 0.9258,                0.85762,                0.31192,                0.54932,                0.94118,              0.0084952,              0.0084952,              0.0084952
                    154,                0.53081,                 1.0415,                 1.0841,                0.90115,                0.82731,                0.91501,                 0.8446,                0.31908,                0.59637,                0.94668,              0.0084853,              0.0084853,              0.0084853
                    155,                 0.5331,                 1.0488,                 1.0846,                0.89825,                  0.824,                 0.9131,                0.84142,                0.32315,                0.60515,                0.94933,              0.0084754,              0.0084754,              0.0084754
                    156,                0.53285,                 1.0449,                  1.085,                 0.8925,                0.81749,                0.90848,                0.83558,                0.32719,                0.62489,                0.95229,              0.0084655,              0.0084655,              0.0084655
                    157,                0.52831,                   1.03,                 1.0833,                0.89255,                0.82047,                0.90968,                0.83711,                0.32587,                 0.6181,                0.95141,              0.0084556,              0.0084556,              0.0084556
                    158,                   0.53,                 1.0492,                 1.0838,                0.90437,                0.83204,                0.91791,                0.84791,                0.31807,                0.58138,                 0.9458,              0.0084457,              0.0084457,              0.0084457
                    159,                0.53052,                 1.0478,                 1.0853,                0.90706,                0.83574,                0.92039,                0.85104,                0.31541,                0.57055,                0.94382,              0.0084358,              0.0084358,              0.0084358
                    160,                0.52954,                 1.0457,                 1.0835,                 0.8966,                0.81845,                0.91012,                 0.8386,                0.32317,                0.61493,                0.94941,              0.0084259,              0.0084259,              0.0084259
                    161,                 0.5248,                 1.0364,                 1.0819,                0.92082,                0.84953,                0.93104,                0.86636,                0.30279,                0.51744,                 0.9348,               0.008416,               0.008416,               0.008416
                    162,                0.52791,                 1.0341,                 1.0809,                0.91648,                0.84818,                0.92945,                0.86397,                0.30443,                0.52587,                0.93595,              0.0084061,              0.0084061,              0.0084061
                    163,                0.52645,                 1.0235,                 1.0811,                0.93042,                0.85849,                 0.9378,                0.87482,                0.29638,                0.48763,                0.93032,              0.0083962,              0.0083962,              0.0083962
                    164,                0.53403,                 1.0456,                 1.0869,                0.92293,                0.84975,                0.93218,                0.86813,                0.30127,                0.51252,                0.93377,              0.0083863,              0.0083863,              0.0083863
                    165,                0.53017,                 1.0397,                  1.085,                0.90947,                0.84419,                0.92561,                0.85957,                0.30751,                  0.546,                0.93816,              0.0083764,              0.0083764,              0.0083764
                    166,                0.52716,                 1.0253,                 1.0817,                0.92876,                0.85977,                0.93771,                0.87505,                0.29607,                0.48781,                0.93003,              0.0083665,              0.0083665,              0.0083665
                    167,                0.52686,                 1.0254,                 1.0819,                0.92568,                0.85082,                0.93338,                0.86944,                0.30017,                0.50833,                0.93284,              0.0083566,              0.0083566,              0.0083566
                    168,                0.53092,                 1.0387,                  1.085,                0.92661,                0.85393,                0.93498,                0.87174,                0.29806,                0.50131,                0.93143,              0.0083467,              0.0083467,              0.0083467
                    169,                 0.5297,                 1.0345,                 1.0849,                0.94203,                0.86936,                0.94534,                0.88661,                0.28573,                0.44816,                0.92303,              0.0083368,              0.0083368,              0.0083368
                    170,                0.53268,                  1.037,                  1.084,                 0.9341,                0.85953,                0.93909,                0.87774,                0.29332,                0.48229,                0.92812,              0.0083269,              0.0083269,              0.0083269
                    171,                 0.5268,                 1.0315,                 1.0818,                0.93048,                0.85702,                0.93717,                0.87496,                0.29574,                0.49364,                0.92974,               0.008317,               0.008317,               0.008317
                    172,                0.53184,                 1.0405,                 1.0835,                0.93442,                0.86093,                0.93997,                0.87868,                0.29322,                 0.4802,                0.92781,              0.0083071,              0.0083071,              0.0083071
                    173,                0.52481,                 1.0291,                 1.0807,                0.93559,                0.86127,                0.94055,                0.87974,                0.29257,                0.47772,                0.92744,              0.0082972,              0.0082972,              0.0082972
                    174,                0.52796,                 1.0141,                 1.0834,                0.93928,                0.86264,                0.94226,                0.88216,                0.29014,                 0.4681,                0.92579,              0.0082873,              0.0082873,              0.0082873
                    175,                 0.5259,                 1.0226,                 1.0824,                0.93078,                0.86007,                0.93856,                0.87743,                0.29342,                0.48613,                0.92815,              0.0082774,              0.0082774,              0.0082774
                    176,                0.52695,                 1.0191,                 1.0791,                0.93017,                0.86036,                0.93874,                 0.8772,                0.29391,                 0.4849,                0.92842,              0.0082675,              0.0082675,              0.0082675
                    177,                0.52307,                 1.0208,                 1.0788,                0.94009,                0.86476,                0.94354,                0.88378,                0.28862,                0.45864,                0.92472,              0.0082576,              0.0082576,              0.0082576
                    178,                0.52648,                 1.0185,                  1.083,                0.92678,                0.85884,                0.93735,                0.87518,                0.29579,                0.49061,                0.92971,              0.0082477,              0.0082477,              0.0082477
                    179,                0.52992,                 1.0391,                 1.0843,                0.93821,                 0.8655,                0.94344,                0.88364,                0.28862,                0.45829,                0.92478,              0.0082378,              0.0082378,              0.0082378
                    180,                0.52662,                 1.0287,                 1.0818,                 0.9408,                0.87382,                0.94705,                0.88869,                0.28441,                0.43734,                0.92188,              0.0082279,              0.0082279,              0.0082279
                    181,                0.52391,                 1.0138,                 1.0764,                0.94086,                 0.8735,                0.94705,                0.88853,                0.28461,                0.43772,                0.92202,               0.008218,               0.008218,               0.008218
                    182,                0.52724,                 1.0257,                 1.0846,                0.93866,                0.87195,                0.94587,                0.88699,                0.28576,                0.44305,                0.92273,              0.0082081,              0.0082081,              0.0082081
                    183,                0.53041,                 1.0281,                 1.0836,                0.93382,                 0.8641,                0.94144,                0.88132,                0.29086,                0.46635,                0.92623,              0.0081982,              0.0081982,              0.0081982
                    184,                0.52386,                 1.0232,                 1.0791,                0.93247,                0.86387,                0.94092,                0.88054,                0.29123,                0.46852,                0.92651,              0.0081883,              0.0081883,              0.0081883
                    185,                0.52755,                 1.0211,                 1.0821,                0.93399,                0.86275,                0.94106,                0.88081,                0.29064,                0.46749,                0.92617,              0.0081784,              0.0081784,              0.0081784
                    186,                0.52449,                 1.0215,                 1.0809,                0.94259,                0.87578,                0.94814,                0.89052,                0.28205,                0.42656,                0.92029,              0.0081685,              0.0081685,              0.0081685
                    187,                0.52848,                  1.019,                 1.0833,                0.94321,                0.87509,                0.94812,                0.89057,                0.28217,                 0.4263,                0.92036,              0.0081586,              0.0081586,              0.0081586
                    188,                0.52441,                 1.0215,                 1.0789,                0.93274,                0.86435,                0.94154,                0.88138,                 0.2903,                0.46357,                0.92583,              0.0081487,              0.0081487,              0.0081487
                    189,                0.52316,                 1.0036,                 1.0793,                0.93815,                0.87332,                0.94612,                0.88794,                 0.2847,                0.43754,                0.92196,              0.0081388,              0.0081388,              0.0081388
                    190,                0.52623,                 1.0157,                 1.0817,                0.94109,                0.87374,                0.94702,                0.88883,                0.28414,                0.43173,                0.92158,              0.0081289,              0.0081289,              0.0081289
                    191,                0.52833,                 1.0173,                 1.0836,                0.94014,                 0.8739,                0.94698,                0.88915,                0.28363,                 0.4319,                0.92119,               0.008119,               0.008119,               0.008119
                    192,                0.52444,                 1.0146,                 1.0803,                0.93739,                0.87171,                0.94536,                0.88688,                 0.2857,                 0.4404,                0.92252,              0.0081091,              0.0081091,              0.0081091
                    193,                0.52771,                 1.0253,                 1.0819,                0.93416,                0.86953,                0.94381,                0.88512,                0.28719,                0.44794,                0.92352,              0.0080992,              0.0080992,              0.0080992
                    194,                0.52432,                 1.0131,                 1.0791,                0.93355,                0.86771,                0.94308,                0.88421,                0.28818,                0.45222,                0.92418,              0.0080893,              0.0080893,              0.0080893
                    195,                0.52105,                 1.0113,                 1.0788,                0.93526,                 0.8704,                0.94445,                0.88608,                0.28658,                0.44474,                0.92306,              0.0080794,              0.0080794,              0.0080794
                    196,                0.52917,                  1.031,                 1.0846,                0.94075,                0.87191,                 0.9467,                0.88932,                0.28326,                0.43163,                0.92083,              0.0080695,              0.0080695,              0.0080695
                    197,                0.52151,                 1.0156,                 1.0796,                0.94105,                0.87241,                0.94683,                0.88948,                0.28352,                0.43147,                0.92094,              0.0080596,              0.0080596,              0.0080596
                    198,                0.52053,                 1.0146,                 1.0773,                0.92001,                0.85639,                 0.9342,                0.87174,                0.29991,                0.49726,                0.93202,              0.0080497,              0.0080497,              0.0080497
                    199,                0.52247,                 1.0131,                 1.0799,                0.92838,                0.86393,                 0.9401,                0.87964,                0.29326,                0.46774,                0.92737,              0.0080398,              0.0080398,              0.0080398
                    200,                0.52665,                 1.0095,                 1.0805,                 0.9369,                0.87045,                0.94485,                0.88647,                0.28733,                0.44226,                0.92326,              0.0080299,              0.0080299,              0.0080299
                    201,                0.52525,                 1.0178,                 1.0797,                 0.9438,                0.87691,                0.94917,                0.89247,                0.28169,                0.41799,                0.91943,                0.00802,                0.00802,                0.00802
                    202,                0.52196,                 1.0163,                 1.0792,                0.94538,                0.88369,                0.95209,                0.89618,                  0.279,                0.40267,                 0.9174,              0.0080101,              0.0080101,              0.0080101
                    203,                0.51996,                 1.0148,                 1.0785,                0.94152,                0.87236,                0.94692,                0.88914,                0.28484,                 0.4303,                 0.9214,              0.0080002,              0.0080002,              0.0080002
                    204,                0.52007,                0.99726,                 1.0764,                0.94519,                0.88449,                 0.9522,                0.89602,                0.27945,                0.40226,                0.91765,              0.0079903,              0.0079903,              0.0079903
                    205,                0.52516,                 1.0107,                 1.0813,                0.94431,                 0.8822,                0.95124,                0.89478,                0.28053,                0.40772,                0.91833,              0.0079804,              0.0079804,              0.0079804
                    206,                0.52222,                 1.0086,                 1.0789,                0.94263,                0.87952,                0.94984,                0.89309,                0.28155,                0.41487,                0.91906,              0.0079705,              0.0079705,              0.0079705
                    207,                  0.519,                 0.9992,                 1.0784,                0.94648,                0.88484,                 0.9528,                0.89721,                0.27835,                0.39959,                0.91674,              0.0079606,              0.0079606,              0.0079606
                    208,                0.52213,                 1.0039,                 1.0802,                  0.946,                0.88495,                0.95272,                0.89685,                 0.2792,                0.40051,                0.91729,              0.0079507,              0.0079507,              0.0079507
                    209,                 0.5169,                0.99547,                 1.0757,                0.94436,                0.88301,                0.95168,                0.89567,                0.27987,                0.40562,                0.91777,              0.0079408,              0.0079408,              0.0079408
                    210,                0.52048,                 1.0054,                 1.0777,                0.94876,                 0.8898,                0.95522,                0.90045,                0.27562,                0.38653,                0.91475,              0.0079309,              0.0079309,              0.0079309
                    211,                0.52061,                      1,                 1.0766,                0.95067,                0.89447,                0.95697,                0.90294,                0.27359,                0.37696,                0.91325,               0.007921,               0.007921,               0.007921
                    212,                0.52027,                0.99663,                  1.075,                0.95368,                 0.8962,                0.95837,                0.90515,                0.27155,                0.36825,                0.91183,              0.0079111,              0.0079111,              0.0079111
                    213,                0.52146,                0.99915,                 1.0787,                0.95527,                0.89914,                0.95998,                0.90757,                0.26956,                0.35917,                0.91036,              0.0079012,              0.0079012,              0.0079012
                    214,                0.52465,                 1.0118,                 1.0789,                0.95786,                0.90488,                0.96216,                0.91052,                0.26682,                0.34765,                 0.9084,              0.0078913,              0.0078913,              0.0078913
                    215,                0.52368,                 1.0094,                 1.0786,                0.95893,                0.90517,                0.96286,                0.91141,                0.26574,                 0.3444,                0.90763,              0.0078814,              0.0078814,              0.0078814
                    216,                0.52384,                 1.0039,                 1.0792,                0.95599,                0.90108,                0.96069,                0.90815,                0.26885,                 0.3566,                0.90976,              0.0078715,              0.0078715,              0.0078715
                    217,                 0.5261,                 1.0193,                 1.0829,                0.95777,                0.90545,                 0.9628,                0.91143,                0.26555,                0.34497,                0.90748,              0.0078616,              0.0078616,              0.0078616
                    218,                0.51726,                0.98704,                 1.0754,                0.96481,                0.91266,                0.96691,                0.91785,                0.25962,                0.32231,                0.90351,              0.0078517,              0.0078517,              0.0078517
                    219,                0.52361,                0.99809,                 1.0789,                0.96824,                 0.9176,                0.96887,                0.92068,                0.25704,                0.31165,                0.90175,              0.0078418,              0.0078418,              0.0078418
                    220,                0.51643,                0.98782,                 1.0766,                 0.9653,                0.91459,                0.96756,                 0.9188,                0.25897,                0.31897,                0.90297,              0.0078319,              0.0078319,              0.0078319
                    221,                0.51993,                0.99572,                 1.0789,                0.96546,                0.91456,                0.96764,                0.91889,                0.25882,                 0.3187,                0.90288,               0.007822,               0.007822,               0.007822
